Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f125w f125w_err f160w f160w_err Redshift
Q1422-c70 29.33 9999.0 26.63 0.2 25.55 0.17 25.63 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.37 0.05 24.93 0.05 3.129
Q1422-c74 27.26 9999.0 25.15 0.1 23.94 0.1 23.67 0.08 23.74 0.39 9999.0 9999.0 9999.0 9999.0 24.33 0.05 24.39 0.05 3.646
Q1422-c77 28.82 9999.0 26.59 0.18 25.16 0.14 22.43 0.01 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.574
Q1422-c78 9999.0 9999.0 25.98 0.13 24.82 0.1 23.21 0.04 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.38
Q1422-c79 29.42 9999.0 26.18 0.23 25.8 0.15 23.63 0.08 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.75
Q1422-c81 27.57 9999.0 26.62 0.19 24.64 0.14 23.99 0.06 22.54 0.17 22.21 0.1 21.22 0.23 9999.0 9999.0 9999.0 9999.0 3.584
Q1422-c84 28.3 9999.0 26.0 0.14 24.9 0.12 24.26 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.975
Q1422-c87 27.69 9999.0 26.35 0.15 25.44 0.16 24.79 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.47 0.05 24.81 0.05 2.822
Q1422-c92 28.8 9999.0 27.11 0.24 25.48 0.19 24.52 0.08 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.011
Q1422-c93 28.49 9999.0 26.42 0.16 25.39 0.14 24.34 0.08 9999.0 9999.0 23.32 0.26 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.084
Q1422-c94 30.73 9999.0 27.31 0.33 25.81 0.22 24.63 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.575
Q1422-c96 27.58 9999.0 25.37 0.1 24.62 0.1 23.83 0.07 23.39 0.28 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.029
Q1422-c99 27.63 9999.0 26.71 0.22 25.29 0.14 24.11 0.07 23.77 0.21 23.79 0.24 9999.0 9999.0 24.85 0.05 24.39 0.05 3.066
Q1422-d12 27.54 9999.0 25.73 0.11 24.81 0.1 99.0 9999.0 9999.0 9999.0 23.0 0.22 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.255
Q1422-d15 27.38 9999.0 25.77 0.1 25.05 0.11 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.914
Q1422-d16 26.95 0.65 24.39 0.1 23.6 0.1 99.0 9999.0 9999.0 9999.0 21.58 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.969
Q1422-d20 27.48 9999.0 25.86 0.12 25.08 0.11 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.58
Q1422-d21 27.75 9999.0 26.04 0.12 25.53 0.17 126.03 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.146
Q1422-d22 28.03 9999.0 26.48 0.16 25.46 0.15 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.382
Q1422-d23 26.95 9999.0 24.64 0.1 23.82 0.1 126.47 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.019
Q1422-d33 27.81 9999.0 25.34 0.1 24.61 0.1 99.0 9999.0 9999.0 9999.0 24.08 0.35 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.07
Q1422-d38 27.54 9999.0 26.15 0.14 25.38 0.15 52.75 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.044
Q1422-d41 27.74 9999.0 26.3 0.13 25.21 0.13 32.96 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.9
Q1422-d42 27.54 9999.0 26.07 0.12 25.14 0.11 26.09 0.15 23.88 0.42 9999.0 9999.0 9999.0 9999.0 25.04 0.05 24.78 0.05 3.137
Q1422-d43 27.52 9999.0 26.95 0.18 25.39 0.2 22.7 0.01 21.03 0.1 21.1 0.1 21.24 0.21 23.13 0.05 22.62 0.05 2.967
Q1422-d45 27.47 0.77 24.56 0.1 24.09 0.1 23.95 0.1 23.08 0.13 23.14 0.21 9999.0 9999.0 23.88 0.05 23.99 0.1 3.072
Q1422-d53 27.56 0.88 25.44 0.1 24.29 0.1 23.35 0.05 24.25 0.42 23.21 0.26 9999.0 9999.0 24.34 0.05 23.94 0.05 3.086
Q1422-d54 28.03 0.76 26.58 0.16 25.99 0.2 24.52 0.09 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.16 0.05 24.78 0.05 3.038
Q1422-d55 28.05 9999.0 26.46 0.18 25.14 0.14 23.78 0.05 23.28 0.28 9999.0 9999.0 9999.0 9999.0 24.55 0.05 23.96 0.05 2.697
Q1422-d57 27.84 9999.0 26.5 0.16 25.76 0.19 26.35 0.48 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.7 0.06 25.35 0.06 2.946
Q1422-d60 27.51 0.7 25.41 0.1 24.86 0.1 24.7 0.15 9999.0 9999.0 9999.0 9999.0 21.4 0.3 24.39 0.05 24.31 0.05 2.693
Q1422-d61 27.4 9999.0 26.4 0.2 24.96 0.15 23.84 0.07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.24 0.05 23.61 0.05 3.588
Q1422-d62 27.7 9999.0 25.58 0.1 24.52 0.1 23.47 0.05 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.971
Q1422-d63 27.81 0.71 26.18 0.13 25.23 0.14 25.1 0.17 24.25 0.33 24.08 0.39 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.775
Q1422-d65 27.38 1.01 24.99 0.1 23.86 0.1 22.75 0.04 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.316
Q1422-d68 27.66 0.79 25.26 0.1 24.77 0.1 23.54 0.04 9999.0 9999.0 23.82 0.42 9999.0 9999.0 24.67 0.1 24.42 0.1 3.286
Q1422-d7 27.23 0.54 25.62 0.1 25.01 0.14 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.822
Q1422-d70 27.57 9999.0 27.29 0.2 25.67 0.24 24.65 0.05 22.73 0.1 22.53 0.1 9999.0 9999.0 24.3 0.05 23.81 0.05 2.318
Q1422-d72 27.19 9999.0 25.77 0.11 24.68 0.1 25.15 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.136
