Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err f814w f814w_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f125w f125w_err f160w f160w_err Redshift
Q0933-D30 25.89 9999.0 24.83 0.12 23.89 0.1 24.13 0.31 24.53 0.43 23.66 0.13 23.11 0.15 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.911
Q0933-D7 25.99 0.44 24.62 0.1 24.23 0.1 24.39 0.21 23.73 0.11 23.9 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.065
Q0933-D8 25.93 0.35 24.68 0.1 24.94 0.13 25.63 0.57 29.72 9999.0 24.36 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.739
Q0933-M10 26.51 9999.0 25.86 0.18 24.36 0.1 24.92 0.37 28.01 9999.0 23.94 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.487
Q0933-M13 27.73 9999.0 26.83 0.22 25.6 0.2 26.47 0.81 25.88 0.45 25.41 0.19 9999.0 9999.0 9999.0 9999.0 25.41 0.05 25.12 0.05 3.343
Q0933-M16 26.72 9999.0 25.59 0.14 24.15 0.1 24.79 0.33 24.22 0.19 23.4 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.037
Q0933-M17 26.86 9999.0 26.63 0.25 25.71 0.2 25.98 0.69 26.05 0.71 25.51 0.28 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.738
Q0933-M18 27.83 9999.0 26.55 0.18 25.07 0.21 26.84 1.18 26.16 9999.0 26.42 0.37 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.033
Q0933-M23 26.6 9999.0 25.97 0.17 24.64 0.11 25.22 0.43 25.19 0.4 24.59 0.15 9999.0 9999.0 9999.0 9999.0 24.59 0.05 24.55 0.05 3.289
Q0933-M30 27.3 9999.0 27.1 0.27 25.25 0.22 27.2 1.46 23.42 0.1 25.94 0.29 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.26
Q0933-M31 26.57 9999.0 25.89 0.15 24.73 0.12 25.19 0.41 25.13 0.37 24.64 0.15 23.54 0.23 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.917
Q0933-M33 27.41 9999.0 25.75 0.22 26.02 0.17 25.01 0.57 24.32 0.29 23.34 0.1 22.78 0.37 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.034
Q0933-M4 27.04 9999.0 26.81 0.28 25.24 0.2 26.78 1.4 99.0 9999.0 24.03 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.209
Q0933-M5 26.84 9999.0 25.52 0.15 24.31 0.1 24.35 0.25 24.0 0.18 23.48 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.168
Q0933-M7 26.21 9999.0 26.2 0.23 24.41 0.1 25.03 0.4 24.62 0.26 23.82 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.492
Q0933-MD10 26.74 0.72 25.62 0.1 25.34 0.19 26.54 1.2 99.0 9999.0 24.28 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.63
Q0933-MD11 26.48 9999.0 26.16 0.14 25.23 0.18 26.51 0.98 41.0 9999.0 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.803
Q0933-MD17 26.68 0.71 25.12 0.1 24.35 0.1 24.37 0.22 99.0 9999.0 22.64 0.1 9999.0 9999.0 22.05 0.1 9999.0 9999.0 9999.0 9999.0 2.853
Q0933-MD22 26.92 0.75 26.14 0.16 25.39 0.19 27.01 1.81 24.17 0.13 24.53 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.785
Q0933-MD26 26.49 9999.0 25.82 0.13 25.53 0.17 25.77 0.61 29.08 9999.0 25.84 0.4 22.88 0.42 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.551
Q0933-MD29 26.85 0.86 25.24 0.1 24.55 0.1 24.87 0.32 25.59 0.59 23.88 0.1 22.79 0.27 23.18 0.23 9999.0 9999.0 9999.0 9999.0 2.592
Q0933-MD31 25.98 0.44 25.14 0.1 24.6 0.12 24.88 0.33 24.71 0.27 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.836
Q0933-MD34 26.79 9999.0 26.11 0.17 25.27 0.18 26.57 1.27 25.63 0.51 26.81 0.99 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.668
Q0933-MD35 26.48 9999.0 26.23 0.17 25.54 0.19 25.75 0.54 25.55 0.43 24.75 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.792
Q0933-MD37 25.97 0.44 24.61 0.1 24.2 0.1 24.2 0.22 23.19 0.1 22.61 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.398
Q0933-MD39 26.12 9999.0 25.26 0.12 24.16 0.1 23.81 0.16 23.03 0.1 23.15 0.1 23.84 0.35 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.989
Q0933-MD41 26.06 0.53 24.58 0.1 24.18 0.1 24.31 0.26 23.97 0.18 23.39 0.1 22.95 0.12 9999.0 9999.0 23.41 0.05 23.14 0.05 2.111
Q0933-MD44 27.03 9999.0 26.53 0.24 25.4 0.18 25.48 0.47 25.08 0.31 23.88 0.1 22.8 0.1 9999.0 9999.0 24.68 0.05 24.05 0.05 2.948
Q0933-MD47 26.23 9999.0 26.04 0.16 24.84 0.15 25.57 0.52 25.3 0.39 26.92 0.12 9999.0 99999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.327
Q0933-MD49 26.35 9999.0 25.69 0.12 24.66 0.13 25.51 0.5 25.14 0.34 24.78 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.915
Q0933-MD51 27.07 0.81 25.94 0.13 25.0 0.15 25.53 0.44 26.36 0.92 23.4 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.344
Q0933-MD52 25.24 0.29 23.85 0.1 23.53 0.1 23.22 0.12 22.44 0.1 21.67 0.1 21.09 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.056
Q0933-MD53 26.61 9999.0 25.58 0.1 24.71 0.12 25.54 0.5 25.29 0.38 24.1 0.1 23.34 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.431
Q0933-MD54 26.31 0.68 25.17 0.1 24.05 0.1 24.55 0.25 23.94 0.14 23.38 0.1 22.61 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.314
Q0933-MD57 26.05 9999.0 25.1 0.1 23.99 0.1 24.22 0.22 23.89 0.15 23.05 0.1 22.76 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.629
Q0933-MD58 25.69 0.31 25.1 0.1 24.13 0.1 25.28 0.39 25.14 0.33 24.7 0.14 23.94 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.63
