Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err f814w f814w_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f125w f125w_err f160w f160w_err Redshift
DSF2237b-D2 26.19 9999.0 24.62 0.12 23.77 0.04 23.61 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.178
DSF2237b-D25 26.77 9999.0 24.55 0.1 23.87 0.03 23.84 0.12 23.81 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.169
DSF2237b-D28 26.76 0.68 24.69 0.1 24.35 0.04 24.62 0.22 23.56 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.928
DSF2237b-D29 26.96 1.04 24.43 0.1 23.65 0.03 23.65 0.12 23.68 0.17 9999.0 9999.0 22.44 0.13 22.3 0.18 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.365
DSF2237b-D3 26.19 9999.0 24.78 0.11 24.18 0.05 24.55 0.25 24.92 0.43 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.939
DSF2237b-D4 26.96 0.78 24.53 0.1 24.42 0.05 24.51 0.2 25.98 0.92 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.935
DSF2237b-D5 24.82 0.29 23.17 0.1 22.54 0.02 21.82 0.1 9999.0 9999.0 21.78 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.62
DSF2237b-M14 27.31 9999.0 27.54 0.74 26.3 0.15 27.13 1.37 25.37 0.2 25.28 0.2 9999.0 9999.0 23.37 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.177
DSF2237b-M15 27.81 9999.0 26.05 0.25 25.46 0.09 26.12 0.71 25.5 0.28 25.01 0.21 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.6 0.1 25.46 0.1 3.401
DSF2237b-M19 27.29 9999.0 25.76 0.21 24.7 0.05 25.09 0.31 24.54 0.12 23.29 0.1 9999.0 9999.0 23.61 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.257
DSF2237b-M20 26.57 9999.0 25.32 0.18 24.3 0.05 24.34 0.2 23.75 0.1 22.64 0.1 9999.0 9999.0 23.5 0.18 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.143
DSF2237b-M22 28.08 9999.0 25.7 0.21 24.76 0.06 24.71 0.23 23.82 0.1 23.04 0.1 9999.0 9999.0 23.29 0.34 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.397
DSF2237b-M23 28.39 9999.0 26.11 0.25 25.41 0.08 25.56 0.4 24.38 0.1 23.67 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.372
DSF2237b-M25 27.82 9999.0 26.22 0.28 25.51 0.11 25.46 0.37 25.5 0.3 25.15 0.26 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.273
DSF2237b-M27 29.26 9999.0 26.22 0.33 25.41 0.12 25.46 0.43 25.14 0.27 23.47 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.405
DSF2237b-M29 27.61 9999.0 25.38 0.18 24.15 0.04 24.07 0.14 23.25 0.1 22.23 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.389
DSF2237b-M3 9999.0 9999.0 25.74 0.23 24.58 0.05 25.09 0.34 23.4 0.1 23.65 0.16 9999.0 9999.0 22.91 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.143
